taxon_id	parent_taxon_id	taxon_rank_id	epithet	author	year	code	vernacular_names	use_parentheses
2001264	3000188	11	Herminiidae			urn:lsid:dyntaxa.se:Taxon:2001264	sprötflyn:swe	
2001265	3000188	11	Noctuidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001265	nattflyn:swe	
2002913	3000188	11	Depressariidae	Meyrick	1883	urn:lsid:dyntaxa.se:Taxon:2002913	plattmalar:swe	
2002914	3000188	11	Chimabachidae	Heinemann	1870	urn:lsid:dyntaxa.se:Taxon:2002914	vårmalar:swe	
2002915	3000188	11	Autostichidae	Le Marchand	1947	urn:lsid:dyntaxa.se:Taxon:2002915		
2002916	3000188	11	Lypusidae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:2002916	sotmalar:swe	
2002917	3000188	11	Urodidae	Kyrki	1988	urn:lsid:dyntaxa.se:Taxon:2002917	raspmalar:swe	
2002919	3000188	11	Nolidae	Bruand	1847	urn:lsid:dyntaxa.se:Taxon:2002919	trågspinnare:swe	
2003597	3000188	11	Crambidae	Latreille	1810	urn:lsid:dyntaxa.se:Taxon:2003597		
2001238	6003675	11	Limacodidae	Duponchel	1845	urn:lsid:dyntaxa.se:Taxon:2001238	snigelspinnare:swe	
2001239	6003675	11	Megalopygidae	Herrich-Schäffer	1855	urn:lsid:dyntaxa.se:Taxon:2001239		
2001255	6003675	11	Zygaenidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001255	bastardsvärmare:swe	
2001250	6003862	11	Hesperiidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001250	tjockhuvuden:swe	
2001255	6003862	11	Zygaenidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001255	bastardsvärmare:swe	
2001237	6003993	11	Cossidae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001237	träfjärilar:swe	
2001241	6003993	11	Sesiidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001241	glasvingar:swe	
2001257	6004000	11	Endromidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001257	skäckspinnare:swe	
2001258	6004000	11	Brahmaeidae	Swinhoe	1892	urn:lsid:dyntaxa.se:Taxon:2001258	mjölkörtsspinnare:swe	
2001259	6004000	11	Saturniidae	Boisduval	1837	urn:lsid:dyntaxa.se:Taxon:2001259	påfågelspinnare:swe	
2001260	6004000	11	Sphingidae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001260	svärmare:swe	
2001256	6004006	11	Lasiocampidae	Harris	1841	urn:lsid:dyntaxa.se:Taxon:2001256	ädelspinnare:swe	
2001248	6004033	11	Drepanidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001248	sikelvingar:swe	
2001249	6004036	11	Geometridae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001249	mätare:swe	
2001261	6004099	11	Notodontidae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:2001261	tandspinnare:swe	
