"ids","pids"
214418,1003811
1003811,2001225
100807,1003793
102498,1003793
1003793,2001225
214412,1003805
1003805,2001225
251246,1013957
1013957,2001225
102453,1003810
1003810,2001225
214415,1003808
1003808,2001225
214420,1003812
1003812,2001225
214416,1003809
1003809,2001225
2001225,6004816
214388,1003789
214389,1003789
1003789,2002914
214390,1003790
1003790,2002914
2002914,6004816
214242,1003772
214243,1003772
214244,1003772
214245,1003772
1003772,2002913
214246,1003773
1003773,2002913
102515,1003774
1003774,2002913
214248,1003775
214249,1003775
214250,1003775
1003775,2002913
100203,1003776
100204,1003776
100205,1003776
100206,1003776
100207,1003776
100208,1003776
102371,1003776
102372,1003776
102373,1003776
102374,1003776
214251,1003776
214252,1003776
214254,1003776
214255,1003776
214257,1003776
214258,1003776
214260,1003776
214262,1003776
214263,1003776
214264,1003776
214265,1003776
214266,1003776
214267,1003776
214270,1003776
214273,1003776
214274,1003776
214276,1003776
214277,1003776
214279,1003776
267141,1003776
1003776,2002913
232933,1003777
214282,1003777
100810,1003777
102414,1003777
102415,1003777
102416,1003777
102417,1003777
102418,1003777
102419,1003777
214280,1003777
214281,1003777
214284,1003777
214285,1003777
214286,1003777
214289,1003777
214290,1003777
214293,1003777
214295,1003777
214297,1003777
251235,1003777
1003777,2002913
2002913,6004816
213989,1003705
1003705,2002916
102486,1003822
214579,1003822
214580,1003822
214581,1003822
1003822,2002916
214583,1003823
1003823,2002916
2002916,6004816
214584,1003824
214585,1003824
214586,1003824
1003824,2001230
214587,1003825
214588,1003825
1003825,2001230
102437,1003826
214589,1003826
1003826,2001230
214591,1003827
1003827,2001230
214592,1003828
214593,1003828
214594,1003828
214595,1003828
1003828,2001230
2001230,6004816
102362,1003879
214791,1003879
1003879,6005023
102386,1003877
214786,1003877
214787,1003877
1003877,6005023
100824,1003876
214780,1003876
214781,1003876
214783,1003876
214784,1003876
1003876,6005023
214788,1003878
214789,1003878
214790,1003878
1003878,6005023
6005023,2001235
102362,1003879
214791,1003879
1003879,2001235
102386,1003877
214786,1003877
214787,1003877
1003877,2001235
100824,1003876
214780,1003876
214781,1003876
214783,1003876
214784,1003876
1003876,2001235
214788,1003878
214789,1003878
