"AlertStatusId","Author","CategoryId","ChangeStatusId","CommonName","CreatedBy","CreatedDate","Guid","Id","IsGraded","IsInRevision","IsPublished","IsValid","ModifiedBy","ModifiedDate","ScientificName","SortOrder","ValidFromDate","ValidToDate"
0,"Wollaston, 1858",17,0,"madeiraförnamal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214573",214573,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Blastobasis decolorella",36787,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Zeller, 1855",14,0,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1003818",1003818,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Blastobasis",36786,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Thunberg, 1794)",17,0,"barrskogsförnamal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214574",214574,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Hypatopa binotella",36789,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1839)",17,0,"alskogsförnamal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214575",214575,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Hypatopa inunctella",36790,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1873)",17,0,"blandskogsförnamal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214576",214576,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Hypatopa segnella",36791,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Walsingham, 1907",14,0,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1003819",1003819,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Hypatopa",36788,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Meyrick, 1894",11,0,"förnamalar",1,2004-01-20 00:00:00,"urn:lsid:dyntaxa.se:Taxon:2001232",2001232,FALSE,TRUE,TRUE,TRUE,876,2014-12-22 10:24:14,"Blastobasidae",36785,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Hannemann, 1961",17,0,"ginsthedkorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:101759",101759,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris crypta",36794,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Bengtsson, 1977",17,0,"nordlig korthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:101760",101760,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris fuscopterella",36795,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Fabricius, 1794)",17,0,"utropstecknad korthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:101761",101761,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris knochella",36796,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1839)",17,0,"havsstrandkorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:101762",101762,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris productella",36797,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1847)",17,0,"längsstreckad korthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214373",214373,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris potentillella",36798,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1839)",17,0,"brokig korthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214374",214374,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris cicadella",36799,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Fabricius, 1775)",17,0,"mållkorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214375",214375,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris limbella",36800,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Hübner, 1817)",17,0,"svart rallarroskorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214378",214378,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris inspersella",36801,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1843)",17,0,"grå rallarroskorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214379",214379,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris noricella",36802,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Karsholt & Nielsen, 1976",17,0,"kråkriskorthuvudmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214380",214380,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Scythris empetrella",36803,1763-02-08 00:00:00,2447-08-01 00:00:00
